fund_code,short_name,company,expected_style,expected_turnover,added_reason,confirmed_turnover,confirmed_turnover_source,num_reports_available,category,sub_category,expected_bond_profile
000001,华夏成长混合,华夏基金,均衡,低,老牌灵活配置/成立超20年,pending,pending_portfolio_change_batch,8,混合型,主动权益,
020005,国泰金马稳健,国泰基金,价值,低,老牌价值型/低换手预期,pending,pending_portfolio_change_batch,12,混合型,主动权益,
070002,嘉实增长混合,嘉实基金,成长,中,知名成长基金/经理归凯,pending,pending_portfolio_change_batch,12,混合型,主动权益,
110009,易方达价值精选,易方达基金,成长,低,大盘成长/易方达老牌产品,pending,pending_portfolio_change_batch,12,混合型,主动权益,
163406,兴全合润混合,兴证全球,均衡,低,谢治宇管理/均衡风格标杆,pending,pending_portfolio_change_batch,12,混合型,主动权益,
260108,景顺长城新兴成长,景顺长城,成长,低,刘彦春管理/消费成长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
519068,汇添富成长焦点,汇添富基金,成长,中,大盘成长/历史业绩长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
002939,广发创新升级,广发基金,成长,高,刘格菘管理/科技成长/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
005827,易方达蓝筹精选,易方达基金,价值,低,张坤管理/大盘价值/低换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
161005,富国天惠成长,富国基金,均衡,低,朱少醒管理/长期持有/极低换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
166002,中欧新蓝筹,中欧基金,均衡,中,周蔚文管理/均衡风格,pending,pending_portfolio_change_batch,12,混合型,主动权益,
450002,国富弹性市值,国海富兰克林,价值,低,价值风格/低换手代表,pending,pending_portfolio_change_batch,12,混合型,主动权益,
519736,交银新成长,交银施罗德,成长,中,王崇管理/中盘成长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
000697,汇添富移动互联,汇添富基金,成长,高,科技主题/行业集中/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
001071,华安媒体互联网,华安基金,成长,高,胡宜斌管理/TMT主题/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
001938,中欧时代先锋,中欧基金,成长,中,周应波(历任)/科技成长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
003095,中欧医疗健康,中欧基金,行业主题,高,葛兰管理/医药主题/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
004851,广发医疗保健,广发基金,行业主题,高,医药主题/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
005267,嘉实价值精选,嘉实基金,价值,低,价值风格/低换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
006228,中欧电子信息,中欧基金,行业主题,高,TMT主题/中小盘,pending,pending_portfolio_change_batch,12,混合型,主动权益,
110022,易方达消费行业,易方达基金,行业主题,低,消费主题/萧楠管理,pending,pending_portfolio_change_batch,12,混合型,主动权益,
340007,兴全社会责任,兴证全球,成长,中,社会责任主题/中盘成长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
519712,交银阿尔法,交银施罗德,均衡,中,何帅管理/绝对收益思路,pending,pending_portfolio_change_batch,12,混合型,主动权益,
540003,汇丰晋信动态策略,汇丰晋信,均衡,高,陆彬管理/新能源转型/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
570001,诺德价值优势,诺德基金,价值,中,中小公司价值型代表,pending,pending_portfolio_change_batch,12,混合型,主动权益,
000409,鹏华环保产业,鹏华基金,行业主题,高,新能源主题/预期高换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
001480,财通成长优选,财通基金,成长,高,金梓才管理/高换手/行业轮动,pending,pending_portfolio_change_batch,12,混合型,主动权益,
519772,交银新生活力,交银施罗德,成长,中,杨浩管理/中盘成长,pending,pending_portfolio_change_batch,12,混合型,主动权益,
000978,景顺长城量化精选,景顺长城,量化,高,量化策略/预期高换手/规模较小,pending,pending_portfolio_change_batch,12,混合型,主动权益,
001810,中欧潜力价值,中欧基金,价值,低,曹名长管理/深度价值/低换手,pending,pending_portfolio_change_batch,12,混合型,主动权益,
510300,华泰柏瑞沪深300ETF,华泰柏瑞,大盘价值,低,全市场最大ETF/沪深300标杆,pending,pending,0,股票型,ETF,
510500,南方中证500ETF,南方基金,中盘成长,低,中证500标杆ETF/规模大,pending,pending,0,股票型,ETF,
159915,易方达创业板ETF,易方达基金,成长,低,创业板标杆ETF/流动性好,pending,pending,0,股票型,ETF,
110020,易方达沪深300ETF联接A,易方达基金,大盘价值,低,沪深300ETF联接/场外申赎,pending,pending,0,指数型,ETF联接,
001051,华夏沪深300ETF联接A,华夏基金,大盘价值,低,沪深300ETF联接/华夏代表,pending,pending,0,指数型,ETF联接,
010992,东财中证500ETF发起式联接A,东财基金,中盘成长,低,中证500ETF联接/东财代表,pending,pending,0,指数型,ETF联接,
100032,富国中证红利指数增强,富国基金,价值,低,红利指数增强/老牌指增,pending,pending,0,指数型,指数增强,
161017,富国中证500指数增强,富国基金,中盘成长,低,中证500指增/LOF架构,pending,pending,0,指数型,指数增强,
011630,东财有色增强A,东财基金,行业主题,中,有色金属指数增强/行业指增代表,pending,pending,0,指数型,指数增强,
110003,易方达上证50指数A,易方达基金,大盘价值,低,上证50指数/老牌普通指数,pending,pending,0,指数型,普通指数,
001180,广发沪深300指数A,广发基金,大盘价值,低,沪深300普通指数/广发代表,pending,pending,0,指数型,普通指数,
012229,华安众鑫90天滚动短债A,华安基金,,低,短债基金/华安代表,pending,pending,0,债券型,短债,短久期纯债
040045,华安添鑫中短债A,华安基金,,低,中短债基金/华安代表,pending,pending,0,债券型,短债,中短久期
270048,广发纯债债券,广发基金,,低,纯债基金/广发代表/成立超10年,pending,pending,0,债券型,纯债,中长期纯债
000032,易方达信用债A,易方达基金,,低,信用债基金/易方达代表/规模大,pending,pending,0,债券型,纯债,信用债
519024,海富通稳健添利债券A,海富通,,低,一级债基/海富通代表,pending,pending,0,债券型,一级债基,一级债基
000914,中加纯债一年A,中加基金,,低,一级债基/中加代表,pending,pending,0,债券型,一级债基,一级债基
000024,大摩双利增强A,摩根士丹利基金,,中,二级债基/双利增强策略,pending,pending,0,债券型,二级债基,二级债基
180025,银华信用双利债券A,银华基金,,中,二级债基/银华代表/信用双利,pending,pending,0,债券型,二级债基,二级债基
040036,华安安心收益债券A,华安基金,,中,二级债基/华安代表/安心收益,pending,pending,0,债券型,二级债基,二级债基
040022,华安可转债债券A,华安基金,,高,可转债基金/华安代表/转债主题,pending,pending,0,债券型,可转债,可转债
000297,鹏华可转债债券A,鹏华基金,,高,可转债基金/鹏华代表/转债主题,pending,pending,0,债券型,可转债,可转债
006482,广发可转债债券A,广发基金,,高,可转债基金/广发代表/转债主题,pending,pending,0,债券型,可转债,可转债
